company|version|date|rating|count
airbnb|"1.1.2"|2011-06-29|4|1
airbnb|"1.1.2"|2011-06-30|5|1
airbnb|"1.1.1"|2011-06-30|4|1
airbnb|"1.1.2"|2011-07-01|5|2
airbnb|"1.1.2"|2011-07-02|5|1
airbnb|"1.1.2"|2011-07-03|4|1
airbnb|"1.1.2"|2011-07-04|1|1
airbnb|"1.1.2"|2011-07-04|5|3
airbnb|"1.1.1"|2011-07-04|5|1
airbnb|"1.1.2"|2011-07-06|5|4
airbnb|"1.1.2"|2011-07-08|5|2
airbnb|"1.1.1"|2011-07-08|5|1
airbnb|"1.1.2"|2011-07-09|5|2
airbnb|"1.1.2"|2011-07-10|5|1
airbnb|"1.1.2"|2011-07-11|5|1
airbnb|"1.1.2"|2011-07-12|5|2
airbnb|"1.1.2"|2011-07-13|5|2
airbnb|"1.1.2"|2011-07-14|1|1
airbnb|"1.1.2"|2011-07-14|4|1
airbnb|"1.1.2"|2011-07-14|5|2
airbnb|"1.1.2"|2011-07-15|4|1
airbnb|"1.1.2"|2011-07-15|5|2
airbnb|"1.1.2"|2011-07-16|4|1
airbnb|"1.1.2"|2011-07-16|5|1
airbnb|"1.2"|2011-07-16|5|1
airbnb|"1.1.2"|2011-07-17|5|1
airbnb|"1.2"|2011-07-17|5|1
airbnb|"1.1.1"|2011-07-17|1|1
airbnb|"1.1.2"|2011-07-18|4|1
airbnb|"1.2"|2011-07-18|4|1
airbnb|"1.2"|2011-07-18|5|1
airbnb|"1.1.2"|2011-07-19|5|1
airbnb|"1.2"|2011-07-19|5|1
airbnb|"1.2"|2011-07-20|4|1
airbnb|"1.2"|2011-07-20|5|1
airbnb|"1.2"|2011-07-21|5|2
airbnb|"1.2"|2011-07-22|4|2
airbnb|"1.2"|2011-07-22|5|1
airbnb|"1.1.0"|2011-07-23|4|1
airbnb|"1.2"|2011-07-23|4|1
airbnb|"1.2"|2011-07-23|5|3
airbnb|"1.2"|2011-07-24|5|2
airbnb|"1.2"|2011-07-25|5|1
airbnb|"1.2"|2011-07-26|5|1
airbnb|"1.2"|2011-07-28|5|1
airbnb|"1.2"|2011-07-29|5|2
airbnb|"1.1.2"|2011-07-30|5|1
airbnb|"1.2"|2011-07-30|1|1
airbnb|"1.2"|2011-07-30|5|3
airbnb|"1.2"|2011-07-31|5|1
airbnb|"1.2"|2011-08-01|5|1
airbnb|"1.2"|2011-08-02|4|1
airbnb|"1.2"|2011-08-02|5|1
airbnb|"1.2"|2011-08-03|4|2
airbnb|"1.2"|2011-08-03|5|2
airbnb|"1.1.2"|2011-08-05|5|1
airbnb|"1.2"|2011-08-07|2|1
airbnb|"1.2"|2011-08-08|3|1
airbnb|"1.2"|2011-08-09|2|1
airbnb|"1.1.1"|2011-08-09|5|1
airbnb|"1.1.2"|2011-08-10|5|1
airbnb|"1.1.2"|2011-08-11|5|1
airbnb|"1.2"|2011-08-12|3|1
airbnb|"1.1.0"|2011-08-13|5|1
airbnb|"1.2"|2011-08-13|1|1
airbnb|"1.2"|2011-08-13|2|1
airbnb|"1.1.2"|2011-08-14|4|1
airbnb|"1.1.2"|2011-08-14|5|1
airbnb|"1.2"|2011-08-14|5|1
airbnb|"1.1.1"|2011-08-14|5|1
airbnb|"1.0.1"|2011-08-15|5|1
airbnb|"1.1.0"|2011-08-15|4|1
airbnb|"1.2"|2011-08-15|5|1
airbnb|"1.0"|2011-08-16|5|1
airbnb|"1.1.1"|2011-08-17|5|1
airbnb|"1.2"|2011-08-18|5|2
