company|version|date|rating|count
airbnb|"1.2.3"|5|2011-11-19|3
airbnb|"1.2.3"|5|2011-11-20|4
airbnb|"1.2.3"|5|2011-11-21|2
airbnb|"1.2.3"|5|2011-11-22|1
airbnb|"1.2.3"|5|2011-11-23|1
airbnb|"1.2.3"|5|2011-11-26|1
airbnb|"1.2.3"|5|2011-11-27|1
airbnb|"1.2.3"|5|2011-11-28|2
airbnb|"1.2.3"|5|2011-12-02|1
airbnb|"1.2.3"|5|2011-12-03|2
airbnb|"1.2.3"|5|2011-12-04|2
airbnb|"1.2.3"|5|2011-12-05|2
airbnb|"1.2.3"|5|2011-12-08|1
airbnb|"1.2.3"|5|2011-12-10|1
airbnb|"1.2.3"|5|2011-12-11|2
airbnb|"1.2.3"|5|2011-12-12|2
airbnb|"1.2.3"|5|2011-12-13|1
airbnb|"1.2.3"|5|2011-12-14|1
airbnb|"1.2.3"|5|2011-12-15|1
airbnb|"1.2.3"|5|2011-12-16|1
airbnb|"1.2.3"|5|2011-12-17|2
airbnb|"1.2.3"|5|2011-12-20|2
airbnb|"1.2.3"|5|2011-12-21|1
airbnb|"1.2.3"|5|2011-12-23|1
airbnb|"1.2.3"|5|2011-12-25|1
airbnb|"1.2.3"|5|2011-12-26|1
airbnb|"1.2.3"|5|2011-12-28|1
airbnb|"1.2.3"|5|2011-12-29|3
airbnb|"1.2.3"|5|2011-12-30|1
airbnb|"1.2.3"|5|2011-12-31|3
airbnb|"1.2.3"|5|2012-01-01|1
airbnb|"1.2.3"|5|2012-01-02|2
airbnb|"1.2.3"|5|2012-01-03|2
airbnb|"1.2.3"|5|2012-01-04|1
airbnb|"1.2.3"|5|2012-01-05|1
airbnb|"1.2.3"|5|2012-01-06|1
airbnb|"1.2.3"|5|2012-01-07|2
airbnb|"1.2.3"|5|2012-01-08|2
airbnb|"1.2.3"|5|2012-01-09|3
airbnb|"1.2.3"|5|2012-01-10|2
airbnb|"1.2.3"|5|2012-01-12|1
airbnb|"1.2.3"|5|2012-01-31|1
airbnb|"1.2.3"|5|2012-02-01|3
airbnb|"1.2.3"|5|2012-02-02|2
airbnb|"1.2.3"|5|2012-02-03|1
airbnb|"1.2.3"|5|2012-02-04|1
airbnb|"1.2.3"|5|2012-02-06|1
airbnb|"1.2.3"|5|2012-02-07|1
airbnb|"1.2.3"|5|2012-02-08|2
airbnb|"1.2.3"|5|2012-02-10|1
airbnb|"1.2.3"|5|2012-02-11|3
airbnb|"1.2.3"|5|2012-02-15|2
airbnb|"1.2.3"|5|2012-02-16|2
airbnb|"1.2.3"|5|2012-03-25|1
airbnb|"1.3.0"|1|2012-03-19|1
airbnb|"1.3.0"|1|2012-03-24|2
airbnb|"1.3.0"|1|2012-03-28|1
airbnb|"1.3.0"|1|2012-03-30|1
airbnb|"1.3.0"|1|2012-03-31|2
airbnb|"1.3.0"|1|2012-04-02|1
airbnb|"1.3.0"|1|2012-04-09|1
airbnb|"1.3.0"|1|2012-04-10|2
airbnb|"1.3.0"|1|2012-04-11|1
airbnb|"1.3.0"|1|2012-04-12|1
airbnb|"1.3.0"|1|2012-04-13|1
airbnb|"1.3.0"|1|2012-04-14|2
airbnb|"1.3.0"|1|2012-04-16|1
airbnb|"1.3.0"|1|2012-04-19|2
airbnb|"1.3.0"|1|2012-04-23|1
airbnb|"1.3.0"|1|2012-04-28|1
airbnb|"1.3.0"|1|2012-04-29|1
airbnb|"1.3.0"|1|2012-04-30|1
airbnb|"1.3.0"|2|2012-03-21|2
airbnb|"1.3.0"|2|2012-04-04|1
airbnb|"1.3.0"|2|2012-04-06|2
airbnb|"1.3.0"|2|2012-04-08|1
airbnb|"1.3.0"|2|2012-04-13|1
airbnb|"1.3.0"|2|2012-04-14|1
airbnb|"1.3.0"|2|2012-04-18|2
airbnb|"1.3.0"|2|2012-04-19|2
airbnb|"1.3.0"|2|2012-04-21|1
airbnb|"1.3.0"|2|2012-04-23|1
airbnb|"1.3.0"|2|2012-04-25|1
airbnb|"1.3.0"|2|2012-05-28|1
airbnb|"1.3.0"|2|2012-06-20|1
airbnb|"1.3.0"|2|2012-07-10|1
airbnb|"1.3.0"|3|2012-03-23|1
airbnb|"1.3.0"|3|2012-03-26|1
airbnb|"1.3.0"|3|2012-04-16|2
airbnb|"1.3.0"|3|2012-04-17|1
airbnb|"1.3.0"|3|2012-04-18|1
airbnb|"1.3.0"|3|2012-04-21|2
airbnb|"1.3.0"|3|2012-04-26|1
airbnb|"1.3.0"|3|2012-05-25|1
airbnb|"1.3.0"|3|2012-05-26|1
airbnb|"1.3.0"|3|2012-07-21|1
airbnb|"1.3.0"|4|2012-03-27|1
airbnb|"1.3.0"|4|2012-03-29|1
airbnb|"1.3.0"|4|2012-04-03|1
airbnb|"1.3.0"|4|2012-04-09|1
